ID, name, description, imgUrl, calories, proteins, carb, fat, ingredients,
1, Breakfast Taco, A hearty taco filled with scrambled eggs & cheese and sausage, https://i.pinimg.com/564x/2f/8f/bd/2f8fbd88f439fead732e62c7dfe788e4.jpg, 200 cal, 20g, 10g, 10g, 1 cup of flour;2 tbsp oil;100g meat
40, Pork Dumplings, Steamed dumplings filled with seasoned pork, https://i.pinimg.com/736x/7b/5d/b7/7b5db71f251f30fd44b3410cbd001a0c.jpg, 300 cal, 15g, 40g, 10g, 100g pork;1 cup flour;2 tbsp soy sauce
41, Pork Tacos, Spiced pork with fresh toppings in a tortilla, https://i.pinimg.com/736x/06/7b/ac/067bac5fa3094e850b8d9ef3feca736d.jpg, 250 cal, 20g, 20g, 10g, 100g pork;2 tortillas;1/4 cup salsa
42, Char Siu Pork, Chinese-style roasted pork with sweet glaze, https://i.pinimg.com/736x/54/52/40/545240e46e9e6e993e4f382dcdb006b4.jpg, 400 cal, 30g, 20g, 15g, 200g pork;2 tbsp hoisin sauce;1 tbsp honey
43, Pork Adobo, Slow-cooked pork in a tangy soy-vinegar sauce, https://i.pinimg.com/736x/d3/8f/49/d38f497c00341ce579d07939b66514cc.jpg, 350 cal, 25g, 10g, 20g, 200g pork;1/4 cup soy sauce;2 tbsp vinegar
44, Grilled Steak, Perfectly grilled beef steak seasoned simply, https://i.pinimg.com/736x/ad/88/aa/ad88aa0472018d614906eb5fd45d76db.jpg, 400 cal, 35g, 0g, 20g, 200g beef steak;1 tsp salt
45, Beef Tacos, Spiced ground beef in soft tortillas & fresh toppings, https://i.pinimg.com/736x/ad/ea/f0/adeaf088c0d991fba3b977f511bb9da5.jpg, 300 cal, 20g, 20g, 12g, 100g beef;2 tortillas;1/4 cup salsa
46, Beef Stir-fry, Sautéed beef with broccoli & savory sauce, https://i.pinimg.com/736x/64/27/7e/64277ef37c192057d409fe8f750daaac.jpg, 350 cal, 25g, 20g, 12g, 200g beef; 1 small onion;1 cup broccoli;2 tbsp soy sauce
47, Roast Beef, Slow-cooked roast beef with rich gravy, https://i.pinimg.com/736x/78/61/21/7861217c26baacad13491e53686e2e7a.jpg, 400 cal, 30g, 5g, 18g, 200g beef;1/4 cup gravy
48, Beef Kebabs, Skewers of beef & bell peppers grilled to perfection, https://i.pinimg.com/736x/ff/0f/ef/ff0fefa35f9c77e01d468a7e5ac2c341.jpg, 300 cal, 20g, 10g, 15g, 150g beef;1 bell pepper
49, Beef Bourguignon, Beef simmered in red wine with mushrooms & onions, https://i.pinimg.com/736x/51/b4/98/51b4983a16d6c348ef427c3a7a5753d1.jpg, 500 cal, 30g, 20g, 25g, 200g beef;1 cup red wine;100g mushrooms
50, Beef Pho, Vietnamese noodle soup with tender beef slices, https://i.pinimg.com/736x/95/e5/3a/95e53a3659adf692c0cc1fcd91010671.jpg, 350 cal, 20g, 40g, 8g, 200g rice noodles;100g beef;1 tbsp fish sauce
51, Beef Ramen, Savory broth with tender beef slices & noodles, https://i.pinimg.com/736x/4c/16/22/4c1622e6698d126ede5daccaf36bf722.jpg, 400 cal, 25g, 50g, 10g, 200g ramen noodles;100g beef
52, Grilled Chicken, Juicy grilled chicken seasoned with herbs, https://i.pinimg.com/736x/c3/82/53/c3825394eb2358a2b708810eb668a0c7.jpg, 300 cal, 30g, 0g, 10g, 150g chicken breast;1 tsp herbs
53, Chicken Stir-fry, Sautéed chicken with mixed vegetables & soy sauce, https://i.pinimg.com/736x/72/ac/21/72ac21e30e6fafe5041f7e62cb449138.jpg, 350 cal, 25g, 20g, 10g, 200g chicken;1 cup veggies;2 tbsp soy sauce
54, Chicken Tacos, Spiced chicken with fresh toppings in tortillas, https://i.pinimg.com/736x/2b/7d/99/2b7d99908a31683f7b73fb4947a7e2b1.jpg, 250 cal, 20g, 20g, 10g, 100g chicken;2 tortillas
55, Chicken Curry, Tender chicken cooked in rich & spicy curry sauce, https://i.pinimg.com/736x/9f/a3/fb/9fa3fb041dcb9d3166e6e8fdc1996d96.jpg, 400 cal, 25g, 30g, 15g, 200g chicken;1/2 cup curry sauce
56, Chicken Wings, Crispy chicken wings tossed in spicy sauce, https://i.pinimg.com/736x/be/82/99/be82996e1e94fe1062223cd6cc2873a8.jpg, 450 cal, 25g, 5g, 30g, 200g wings;1/4 cup hot sauce
57, Chicken Salad, Grilled chicken over crisp greens & vinaigrette, https://i.pinimg.com/736x/e5/e6/ad/e5e6ad5b129ce4c54f1825efb651266a.jpg, 200 cal, 20g, 5g, 8g, 1 cup lettuce;100g chicken; 1 tsp vinegar
58, Fried Chicken, Crispy fried chicken with seasoned coating, https://i.pinimg.com/736x/28/59/66/285966033cbfda8af8fc491052779321.jpg, 500 cal, 25g, 15g, 30g, 150g chicken;1 cup flour;1 egg
59, Chicken Noodle Soup, Comforting soup with chicken & noodles, https://i.pinimg.com/736x/d8/0a/3d/d80a3d2f952a886e15a27d12ac9530b1.jpg, 200 cal, 15g, 20g, 5g, 1 cup noodles;100g chicken
60, Chicken Pot Pie, Savory pie filled with chicken & vegetables in creamy sauce, https://i.pinimg.com/736x/85/69/68/856968ff7f1bdf9d0597c6164ab65ca8.jpg, 400 cal, 20g, 30g, 18g, 1 pie crust;200g chicken
61, White Rice, Simple steamed white rice, https://i.pinimg.com/736x/78/df/1b/78df1b2d4cc042fc7fff797b97d384cd.jpg, 200 cal, 4g, 45g, 0g, 1 cup white rice;2 cups water
62, Scrambled Eggs, Fluffy scrambled eggs cooked with butter, https://i.pinimg.com/736x/0b/82/eb/0b82eb560540a3c6c4016a31e680caf9.jpg, 180 cal, 12g, 2g, 15g, 3 eggs;1 tbsp butter
63, Boiled Potatoes, Simple boiled potatoes seasoned with salt, https://i.pinimg.com/736x/89/6d/d6/896dd61dd5a193ecd450624280712c55.jpg, 150 cal, 3g, 30g, 0g, 2 medium potatoes;1 tsp salt
64, Steamed Vegetables, A healthy mix of steamed broccoli & carrots, https://i.pinimg.com/736x/55/13/51/5513510639e74258acd6e096fc5df460.jpg, 100 cal, 4g, 10g, 1g, 1 cup broccoli;1/2 cup carrots
65, Baked Sweet Potato, A sweet potato baked to soft perfection, https://i.pinimg.com/736x/65/e0/59/65e0592603858b63adc1b8f32bcf7a60.jpg, 120 cal, 2g, 28g, 0g, 1 medium sweet potato;1 tsp olive oil
